option,rooms,area,floor,total_floors,house_type,condition,price
For sale,2,43,2,5,Brick-Panel,All amenities,"€ 42,900"
For sale,2,62,4,6,Brick,All amenities,"€ 113,500"
For sale,3,55,5,5,Panel,All amenities,"€ 72,000"
For sale,2,50,2,6,Brick,All amenities,"€ 145,000"
For rent,1,35,1,9,Brick,All amenities,€ 250
For sale,3,61,1,3,Brick,All amenities,"€ 59,000"
For rent,2,50,3,6,Brick,All amenities,€ 27
For sale,3,78,6,9,Panel,All amenities,"€ 85,900"
For sale,2,69.2,2,3,Masonry,Partial amenities,"€ 38,406"
For rent,1,42,5,9,Panel,All amenities,€ 250
For rent,2,67,4,5,Brick,All amenities,€ 44
For rent,2,80,4,5,Masonry,All amenities,€ 44
For sale,2,54,1,6,Panel-Brick,All amenities,"€ 89,000"
For sale,2,60,1,5,Masonry,All amenities,"€ 95,000"
For rent,1,37,2,5,Panel,All amenities,€ 300
For sale,2,50,5,5,Panel,All amenities,"€ 47,500"
For rent,3,56,4,4,Brick,All amenities,€ 200
For sale,1,27,2,2,Wood,Partial amenities,"€ 10,400"
For sale,2,49,3,4,Masonry,All amenities,"€ 81,184"
For sale,2,54,1,9,Panel,All amenities,"€ 57,000"
For sale,3,56,2,5,Brick,All amenities,"€ 52,000"
Change,1,38,2,5,Brick,All amenities,"€ 45,000"
For sale,4,76,6,9,Panel,All amenities,"€ 80,000"
For sale,2,52,5,9,Panel,All amenities,"€ 64,900"
For rent,1,41,1,2,Brick,All amenities,€ 450
For sale,2,59,2,5,Masonry,All amenities,"€ 170,000"
Renting,3,,,,,All amenities,
For sale,4,78,7,9,Panel,All amenities,"€ 75,000"
For sale,3,84,4,5,Brick,All amenities,"€ 75,000"
For sale,3,68.74,5,5,Panel,All amenities,"€ 47,000"
For sale,2,44,5,5,Brick,All amenities,"€ 39,500"
For sale,3,64,4,5,Masonry,All amenities,"€ 125,000"
For sale,3,60,2,5,Masonry,All amenities,"€ 125,000"
For sale,1,32,9,9,Panel,All amenities,"€ 45,000"
For sale,4,84,2,5,Masonry,All amenities,"€ 149,810"
For sale,2,48,2,5,Masonry,All amenities,"€ 96,390"
For sale,4,189,3,4,Masonry,All amenities,"€ 240,000"
For sale,2,59,2,5,Masonry,All amenities,"€ 100,000"
For sale,5,180,2,3,Brick-Panel,All amenities,"€ 205,000"
For sale,3,74,2,10,Masonry,All amenities,"€ 121,000"
For sale,2,39,2,3,Brick,All amenities,"€ 58,900"
For sale,3,73,16,16,Panel,All amenities,"€ 73,000"
For rent,2,50,6,9,Panel,All amenities,€ 40
For sale,2,39,2,5,Panel,All amenities,"€ 37,000"
For sale,3,62,1,9,Panel,All amenities,"€ 72,000"
For sale,3,54,1,5,Panel,All amenities,"€ 55,000"
For rent,2,46,1,5,Brick,All amenities,€ 350
For sale,2,58,5,9,Panel,All amenities,"€ 55,900"
For sale,2,55,2,5,Brick,All amenities,"€ 62,800"
Renting,1,,,,,All amenities,
For sale,2,35,1,2,Wood,All amenities,"€ 21,900"
For sale,2,51,6,9,Panel,All amenities,"€ 42,900"
For sale,2,60,1,2,Masonry,All amenities,"€ 39,999"
For sale,1,39,5,5,Panel,All amenities,"€ 32,900"
For rent,1,15,4,6,Brick,All amenities,€ 15
For rent,1,24,4,6,Brick,All amenities,€ 5
For sale,3,58,3,5,Brick,All amenities,"€ 54,000"
For rent,4,120,7,7,Masonry,All amenities,"€ 1,600"
For sale,2,110,4,5,Panel-Brick,All amenities,"€ 119,000"
For sale,3,140,8,12,Masonry,All amenities,"€ 179,800"
For sale,3,64,7,9,Panel,All amenities,"€ 63,000"
For rent,1,34,9,9,Panel-Brick,All amenities,€ 250
For sale,2,50,2,9,Panel,All amenities,"€ 41,000"
For sale,3,96,3,5,Masonry,All amenities,"€ 120,000"
For sale,3,73,8,9,Brick-Panel,All amenities,"€ 82,000"
For sale,2,57,5,5,Panel,All amenities,"€ 38,000"
For sale,3,80,1,9,Panel-Brick,All amenities,"€ 87,000"
For sale,2,51,1,5,Masonry,All amenities,"€ 42,000"
For rent,1,38,4,12,Brick-Panel,All amenities,€ 200
For sale,3,74,3,9,Panel,All amenities,"€ 76,000"
For rent,1,43,5,5,Panel,All amenities,€ 220
For rent,1,28,2,3,Wood,All amenities,€ 215
For rent,1,30,5,5,Panel,All amenities,€ 200
For sale,3,79,7,9,Panel,All amenities,"€ 67,000"
For sale,2,69,1,3,Masonry,All amenities,"€ 83,000"
For sale,3,60,2,5,Panel,All amenities,"€ 50,000"
For rent,1,20,2,5,Brick-Panel,All amenities,€ 170
For sale,1,28,5,5,Panel,All amenities,"€ 27,300"
For sale,2,50,2,3,Brick-Panel,All amenities,"€ 42,000"
For rent,3,87,3,6,Brick,All amenities,€ 900
For sale,3,83,1,6,Brick,All amenities,"€ 99,000"
For sale,4,88.1,2,4,Masonry,All amenities,"€ 107,500"
For sale,3,107,5,6,Masonry,All amenities,"€ 365,000"
For sale,3,64,4,6,Masonry,All amenities,"€ 164,000"
For rent,2,50,3,3,Brick,All amenities,€ 520
For sale,3,60,4,5,Masonry,All amenities,"€ 151,000"
For rent,2,53,2,5,Masonry,All amenities,€ 380
For sale,4,130,1,6,Masonry,All amenities,"€ 110,500"
For sale,3,110.9,1,12,Brick-Panel,All amenities,"€ 110,000"
For rent,2,44,23,23,Panel,All amenities,€ 600
For sale,2,50,3,5,Masonry,All amenities,"€ 71,300"
For rent,1,25,2,6,Masonry,All amenities,€ 250
For rent,1,40,4,9,Panel,All amenities,€ 180
For sale,6,228,6,7,Masonry,All amenities,"€ 225,000"
For sale,4,64,1,3,Brick,All amenities,"€ 57,000"
For rent,3,110,5,6,Masonry,All amenities,€ 800
For sale,4,116,3,5,Masonry,All amenities,"€ 130,000"
For rent,3,59,5,5,Panel,All amenities,€ 350
For sale,4,75,4,9,Masonry,All amenities,"€ 129,000"
For sale,2,55,3,12,Brick,All amenities,"€ 75,000"
For rent,3,110,6,7,Masonry,All amenities,"€ 1,200"
For sale,3,63,9,9,Panel,All amenities,"€ 58,800"
For sale,4,126,2,4,Panel,All amenities,"€ 143,000"
For sale,2,48,2,5,Panel-Brick,All amenities,"€ 31,300"
For rent,1,25,2,2,Masonry,All amenities,€ 175
For sale,2,38,4,5,Brick,All amenities,"€ 39,000"
For sale,3,60.47,2,5,Masonry,All amenities,"€ 125,000"
For rent,2,60,1,1,Brick,All amenities,€ 360
For sale,2,41,2,4,Brick,All amenities,"€ 34,900"
For sale,3,86,3,3,Brick-Panel,All amenities,"€ 129,000"
For sale,1,42,4,4,Masonry,All amenities,"€ 77,000"
For sale,3,90,3,6,Masonry,All amenities,"€ 340,000"
For sale,2,37,4,4,Brick,All amenities,"€ 12,800"
For sale,3,102,2,4,Masonry,All amenities,"€ 250,000"
For sale,3,96,10,12,Panel,All amenities,"€ 179,000"
For rent,2,61,1,4,Masonry,All amenities,€ 370
For sale,4,101,4,6,Masonry,All amenities,"€ 315,000"
For rent,1,30,2,4,Brick,All amenities,€ 350
For sale,2,58,5,5,Panel,All amenities,"€ 103,000"
For sale,1,28,1,3,Wood,All amenities,"€ 46,000"
For sale,2,19,2,4,Brick,All amenities,"€ 6,890"
For sale,2,27,3,3,Masonry,All amenities,"€ 9,490"
For sale,3,96,3,6,Masonry,All amenities,"€ 192,000"
For sale,3,64,2,3,Wood,All amenities,"€ 102,000"
For sale,3,80,2,2,Masonry,All amenities,"€ 49,000"
For sale,3,101.9,2,6,Brick,All amenities,"€ 125,000"
For rent,1,18,5,5,Panel,All amenities,€ 150
For sale,3,77,1,4,Panel-Brick,All amenities,"€ 109,000"
For sale,2,37,4,5,Brick,All amenities,"€ 74,000"
For sale,3,66,5,7,Panel-Brick,All amenities,"€ 165,000"
For rent,3,115,2,7,Brick-Panel,All amenities,"€ 1,370"
For sale,2,64,5,7,Panel-Brick,All amenities,"€ 229,000"
For sale,3,65,4,7,Brick-Panel,All amenities,"€ 185,000"
For rent,1,18,1,4,Brick,All amenities,€ 230
For sale,3,76,3,4,Panel-Brick,All amenities,"€ 130,500"
For sale,2,66,1,4,Panel-Brick,All amenities,"€ 89,000"
For rent,2,45,1,3,Panel-Brick,All amenities,€ 450
For sale,5,135,2,7,Brick-Panel,All amenities,"€ 345,000"
For sale,5,153,4,7,Brick-Panel,All amenities,"€ 445,000"
For sale,4,105,5,7,Panel-Brick,All amenities,"€ 350,000"
For sale,2,41,2,5,Masonry,All amenities,"€ 120,000"
Buying,3,78,7,10,,,
For sale,5,146,4,6,Brick,All amenities,"€ 275,000"
For rent,2,43,5,1,Panel,All amenities,€ 330
For sale,1,30,4,6,Brick,All amenities,"€ 45,000"
For rent,2,45,1,6,Brick,All amenities,€ 40
For rent,1,25,3,6,Masonry,Partial amenities,€ 140
For sale,3,89,2,5,Masonry,All amenities,"€ 110,625"
For rent,2,44,3,6,Masonry,All amenities,€ 225
For rent,3,66.5,6,6,Brick,All amenities,€ 190
For sale,4,104,2,5,Brick,All amenities,"€ 115,000"
For sale,3,64,4,5,Brick,All amenities,"€ 61,000"
For sale,2,43,3,9,Panel,All amenities,"€ 68,000"
For sale,3,64,4,5,Brick,All amenities,"€ 61,000"
For rent,1,22,3,6,Masonry,All amenities,€ 350
For rent,1,20,2,6,Masonry,All amenities,€ 25
For sale,3,155,3,6,Masonry,All amenities,"€ 260,000"
For sale,3,61,2,5,Panel,All amenities,"€ 53,000"
For sale,5,105,6,6,Masonry,All amenities,"€ 189,950"
For sale,3,84,6,7,Panel-Brick,All amenities,"€ 250,000"
For sale,4,93,2,10,Masonry,All amenities,"€ 140,000"
For sale,1,28,2,2,Wood,Partial amenities,"€ 21,000"
For rent,3,70,1,2,Brick,All amenities,€ 370
For sale,3,58,1,2,Brick,All amenities,"€ 49,850"
For sale,4,103,1,12,Panel,All amenities,"€ 160,000"
For rent,2,57,2,2,Masonry,All amenities,€ 30
For sale,2,40,2,6,Panel,All amenities,"€ 63,350"
For rent,3,83,5,5,Brick-Panel,All amenities,€ 600
For sale,3,79,1,9,Panel,All amenities,"€ 89,900"
For sale,3,54,2,5,Brick,All amenities,"€ 16,800"
For sale,3,54,1,1,Wood,All amenities,"€ 33,800"
For sale,1,34,1,6,Masonry,All amenities,"€ 45,000"
For sale,1,34,1,6,Masonry,All amenities,"€ 45,000"
For sale,3,62,7,9,Panel,All amenities,"€ 55,900"
For sale,4,77,7,9,Panel,All amenities,"€ 74,800"
For sale,3,62,2,9,Brick-Panel,All amenities,"€ 63,800"
For sale,5,137,3,6,Masonry,All amenities,"€ 330,000"
For sale,3,72,3,3,Masonry,All amenities,"€ 128,000"
For sale,2,46,6,9,Brick-Panel,All amenities,"€ 78,000"
For rent,2,52,1,5,Panel,All amenities,€ 360
For sale,1,39,3,3,Masonry,Partial amenities,"€ 24,500"
For sale,2,46,1,5,Brick,All amenities,"€ 53,000"
For rent,4,150,3,5,Masonry,All amenities,"€ 1,475"
Buying,1,42,2,5,Panel,All amenities,
For sale,3,90,1,5,Panel-Brick,All amenities,"€ 158,000"
For sale,5,226,6,7,Panel-Brick,All amenities,"€ 295,000"
For sale,2,50,3,6,Masonry,All amenities,"€ 111,980"
For sale,1,31,2,6,Masonry,All amenities,"€ 68,540"
For rent,1,24,2,3,Brick,All amenities,€ 330
For rent,1,54,3,3,Brick,All amenities,€ 500
For rent,1,35,3,9,Panel,All amenities,€ 190
For sale,3,83,2,6,Masonry,All amenities,"€ 164,800"
For sale,1,37,1,5,Brick-Panel,All amenities,"€ 28,000"
For sale,3,69,5,5,Panel,All amenities,"€ 48,000"
For sale,4,75,8,9,Panel,All amenities,"€ 73,400"
For sale,4,167,21,24,Brick-Panel,All amenities,"€ 320,000"
For sale,4,121,2,5,Brick,All amenities,"€ 205,700"
For sale,6,230,5,6,Masonry,All amenities,"€ 330,000"
For sale,3,52,2,2,Brick,All amenities,"€ 79,900"
For rent,1,42,3,9,Panel,All amenities,€ 250
For sale,4,110,1,12,Brick,All amenities,"€ 110,000"
For rent,1,18,6,6,Masonry,All amenities,€ 235
For sale,3,57,1,5,Brick-Panel,All amenities,"€ 49,000"
For sale,3,63,1,9,Panel,All amenities,"€ 53,500"
For rent,4,127,5,8,Panel,All amenities,"€ 1,200"
For rent,3,100,5,6,Masonry,All amenities,€ 950
For sale,3,68,1,5,Brick-Panel,All amenities,"€ 49,000"
For sale,2,46,2,5,Panel,All amenities,"€ 47,000"
For rent,1,40,4,4,Masonry,All amenities,€ 350
For sale,3,55,2,6,Panel,All amenities,"€ 83,100"
For sale,1,27,2,6,Panel,All amenities,"€ 40,500"
For sale,,214,5,5,Brick-Panel,All amenities,"€ 165,000"
For sale,3,74,4,5,Masonry,All amenities,"€ 93,000"
For rent,2,75,4,4,Brick,All amenities,€ 35
For sale,4,73,1,9,Panel,All amenities,"€ 65,000"
For sale,1,33,1,2,Masonry,All amenities,"€ 30,000"
For sale,3,60,1,5,Panel,All amenities,"€ 59,800"
For rent,1,21,4,5,Brick-Panel,All amenities,€ 200
For sale,1,33,3,9,Panel,All amenities,"€ 30,800"
For sale,3,102,6,6,Brick,All amenities,"€ 139,900"
For sale,4,178,1,4,Masonry,All amenities,"€ 430,000"
For sale,2,47,12,12,Brick-Panel,All amenities,"€ 47,700"
For sale,3,64,1,2,Brick,All amenities,"€ 57,600"
For rent,3,72,5,5,Masonry,All amenities,€ 650
For rent,1,13,2,2,Masonry,All amenities,€ 295
For rent,2,34,3,4,Brick-Panel,All amenities,€ 310
For rent,1,13,1,1,Masonry,All amenities,€ 135
For rent,2,67,3,4,Panel-Brick,All amenities,€ 70
For sale,3,60,5,5,Panel,All amenities,"€ 47,000"
For rent,1,15,3,4,Brick,All amenities,€ 150
For sale,1,43,2,5,Brick-Panel,All amenities,"€ 28,000"
For sale,1,43,5,5,Panel-Brick,All amenities,"€ 26,000"
For sale,3,56.6,2,6,Masonry,All amenities,"€ 130,180"
For rent,3,90,1,5,Masonry,All amenities,€ 500
For sale,3,81,5,7,Masonry,All amenities,"€ 199,000"
For sale,3,94,5,5,Masonry,All amenities,"€ 169,900"
For sale,3,61,2,5,Panel,All amenities,"€ 55,000"
For rent,1,36,2,3,Brick-Panel,All amenities,€ 35
For sale,1,30,4,4,Panel,All amenities,"€ 26,500"
For sale,2,50,5,5,Panel,All amenities,"€ 43,400"
For sale,2,63,1,4,Masonry,All amenities,"€ 140,000"
For sale,2,48,1,2,Masonry,All amenities,"€ 53,000"
For sale,3,108,5,6,Masonry,All amenities,"€ 215,000"
For rent,2,59,2,4,Masonry,All amenities,€ 390
For sale,1,17,2,2,Brick,Partial amenities,"€ 11,800"
For rent,1,14,2,4,Masonry,All amenities,€ 200
For sale,3,70,5,6,Brick,All amenities,"€ 138,000"
For sale,3,75,3,10,Masonry,All amenities,"€ 125,000"
For sale,2,48,6,6,Brick,All amenities,"€ 65,800"
For rent,3,80,1,4,Panel,All amenities,€ 700
For rent,1,34,1,4,Masonry,All amenities,€ 240
For sale,1,35,5,6,Masonry,All amenities,"€ 50,000"
For sale,3,88,3,6,Masonry,All amenities,"€ 325,000"
For rent,2,38,4,5,Panel,All amenities,€ 250
For sale,3,78,8,10,Panel,All amenities,"€ 85,000"
For rent,3,88,4,6,Panel-Brick,All amenities,€ 850
For sale,4,127,1,3,Brick,All amenities,"€ 185,000"
For rent,3,105,5,6,Masonry,All amenities,"€ 1,400"
For sale,3,73,1,7,Brick,All amenities,"€ 72,000"
For rent,3,70,6,6,Masonry,All amenities,€ 780
For sale,3,83,4,6,Brick,All amenities,"€ 119,000"
For sale,3,80,5,7,Masonry,All amenities,"€ 166,000"
For rent,1,27,1,3,Wood,All amenities,€ 180
For sale,3,69,3,10,Panel,All amenities,"€ 120,000"
For sale,3,83,2,6,Masonry,All amenities,"€ 225,000"
For sale,2,61,1,3,Panel-Brick,All amenities,"€ 169,000"
For sale,3,82,4,6,Brick,All amenities,"€ 131,000"
For sale,2,45,2,5,Panel,All amenities,"€ 38,000"
For sale,2,72,5,6,Masonry,All amenities,"€ 200,000"
For rent,3,59,3,9,Panel,All amenities,€ 370
Change,1,21.5,2,2,Wood,All amenities,
For rent,1,34,3,4,Masonry,All amenities,€ 260
For sale,2,43,5,5,Panel,All amenities,"€ 54,991"
For sale,3,67,2,2,Brick,All amenities,"€ 62,000"
For sale,3,63,2,2,Masonry,All amenities,"€ 77,000"
For sale,3,75,3,3,Masonry,All amenities,"€ 130,000"
For sale,2,53,3,4,Masonry,All amenities,"€ 70,000"
For rent,1,36,2,3,Brick-Panel,All amenities,€ 35
For sale,3,52,3,4,Masonry,All amenities,"€ 72,000"
For sale,2,50.2,3,3,Masonry,All amenities,"€ 106,000"
For sale,2,50,1,5,Masonry,All amenities,"€ 64,955"
For sale,3,88,3,6,Panel,All amenities,"€ 147,000"
For sale,2,38,1,5,Panel,All amenities,"€ 38,000"
For sale,2,82,1,3,Masonry,All amenities,"€ 32,000"
For sale,2,165,6,6,Masonry,All amenities,"€ 231,000"
For sale,4,112,4,4,Masonry,All amenities,"€ 143,000"
For sale,3,95,2,6,Masonry,All amenities,"€ 237,000"
For rent,1,28,4,5,Panel,All amenities,€ 280
For rent,4,161,3,3,Masonry,All amenities,"€ 1,780"
For sale,3,60,9,9,Panel,All amenities,"€ 63,500"
For sale,1,43,10,10,Panel,All amenities,"€ 43,700"
For sale,3,65,2,9,Panel,All amenities,"€ 76,000"
For rent,2,37,2,5,Panel,All amenities,€ 300
For sale,2,44,1,5,Panel,All amenities,"€ 35,000"
For sale,2,52,2,4,Masonry,All amenities,"€ 60,900"
For rent,2,80,6,7,Masonry,All amenities,€ 450
For sale,3,65,3,4,Masonry,All amenities,"€ 160,000"
For rent,2,30,6,6,Panel-Brick,All amenities,€ 290
For sale,3,57,1,5,Panel,All amenities,"€ 59,900"
For sale,3,66,1,5,Brick-Panel,All amenities,"€ 57,500"
For rent,2,43,5,5,Brick-Panel,All amenities,€ 390
For rent,3,70,3,3,Brick,Partial amenities,€ 580
For rent,3,93,14,23,Masonry,All amenities,"€ 1,450"
For rent,3,115,15,23,Masonry,All amenities,"€ 1,450"
For rent,3,95,14,23,Masonry,All amenities,"€ 1,450"
For sale,2,46,9,12,Brick,All amenities,"€ 60,000"
For sale,2,50,8,9,Panel,All amenities,"€ 59,000"
For sale,3,63,1,5,Panel,All amenities,"€ 76,372"
For sale,1,38,2,6,Brick,All amenities,"€ 60,000"
For sale,2,38,5,5,Panel,All amenities,"€ 39,990"
For rent,2,55,3,8,Masonry,All amenities,€ 600
For rent,3,87,4,6,Masonry,All amenities,€ 600
For rent,1,14,4,6,Masonry,All amenities,€ 200
Buying,2,,2,5,Brick-Panel,All amenities,
For sale,2,80,5,6,Brick,All amenities,"€ 72,000"
For sale,4,127,7,7,Masonry,All amenities,"€ 124,900"
For rent,3,58,5,6,Masonry,All amenities,€ 630
For sale,2,65,9,9,Panel-Brick,All amenities,"€ 110,000"
For rent,2,50,6,9,Panel,All amenities,€ 40
For sale,4,107,1,2,Wood,All amenities,"€ 200,000"
For sale,3,60,5,5,Panel,All amenities,"€ 75,000"
For rent,1,25,2,3,Wood,All amenities,€ 350
For rent,3,72,3,4,Masonry,All amenities,€ 700
For sale,2,60,6,6,Masonry,All amenities,"€ 70,000"
For sale,2,60,3,3,Panel,All amenities,"€ 99,703"
For sale,3,63,8,9,Panel,All amenities,"€ 72,000"
For sale,3,65,4,5,Brick-Panel,All amenities,"€ 84,000"
For rent,2,44,4,4,Brick,All amenities,€ 320
For sale,1,30,2,5,Masonry,All amenities,"€ 68,540"
For sale,2,54,3,5,Brick-Panel,All amenities,"€ 45,000"
For rent,2,52,2,4,Brick-Panel,All amenities,€ 700
For sale,6,225,4,5,Masonry,All amenities,"€ 331,000"
For sale,2,45,2,2,Wood,Partial amenities,"€ 27,000"
For sale,1,32,6,6,Masonry,All amenities,"€ 39,800"
For rent,2,63,2,4,Panel,All amenities,€ 525
For sale,3,54,4,5,Panel,All amenities,"€ 41,500"
For sale,3,62,8,9,Panel,All amenities,"€ 52,900"
For sale,1,40,4,5,Masonry,All amenities,"€ 99,000"
For sale,2,45,4,5,Masonry,All amenities,"€ 101,000"
For rent,3,80,7,7,Masonry,All amenities,€ 850
For sale,3,63,8,9,Panel,All amenities,"€ 68,000"
For sale,2,49,2,9,Panel,All amenities,"€ 43,000"
For sale,3,82,1,5,Masonry,All amenities,"€ 91,000"
For sale,2,50,2,4,Masonry,All amenities,"€ 100,000"
For rent,1,20,5,5,Brick,All amenities,€ 220
For sale,2,51,2,6,Masonry,All amenities,"€ 88,500"
For sale,2,35,3,7,Brick-Panel,All amenities,"€ 64,000"
For sale,3,65,3,9,Masonry,All amenities,"€ 118,000"
For sale,3,74,2,10,Masonry,All amenities,"€ 121,000"
For rent,2,27,3,3,Masonry,All amenities,€ 300
For rent,3,202,6,6,Panel,All amenities,"€ 2,500"
For rent,2,78,4,4,Masonry,All amenities,€ 850
For sale,5,140,6,6,Masonry,All amenities,"€ 240,000"
For sale,3,54,1,1,Wood,All amenities,"€ 33,800"
For sale,3,88,1,7,Panel-Brick,All amenities,"€ 125,000"
Renting,1,,,,,All amenities,
For rent,2,68.2,8,29,Panel-Brick,All amenities,€ 550
For sale,1,27,2,3,Masonry,All amenities,"€ 35,000"
For rent,2,95,3,3,Brick,All amenities,€ 850
For sale,4,138,1,3,Masonry,All amenities,"€ 215,000"
For rent,1,32,3,5,Panel,All amenities,€ 35
For rent,1,30,6,6,Masonry,All amenities,€ 30
For rent,1,20,5,6,Masonry,All amenities,€ 20
For sale,3,74,3,5,Masonry,All amenities,"€ 165,000"
For sale,1,39,5,5,Panel,All amenities,"€ 32,000"
For sale,4,128,2,7,Masonry,All amenities,"€ 228,000"
For sale,3,69,3,10,Masonry,All amenities,"€ 120,000"
For sale,2,48,1,4,Masonry,All amenities,"€ 150,000"
For sale,3,98.9,3,6,Masonry,All amenities,"€ 146,000"
For sale,3,78,3,5,Brick,All amenities,"€ 184,000"
For sale,3,62,2,3,Masonry,All amenities,"€ 91,000"
For sale,2,48,6,9,Brick-Panel,All amenities,"€ 44,800"
For sale,3,92,2,5,Brick,All amenities,"€ 115,000"
For sale,3,80,3,3,Masonry,All amenities,"€ 115,000"
For sale,3,92,6,23,Panel,All amenities,"€ 145,000"
For sale,4,136,2,4,Masonry,All amenities,"€ 229,000"
For sale,4,134,6,7,Masonry,All amenities,"€ 260,000"
For sale,2,67,1,2,Brick,All amenities,"€ 69,000"
For rent,1,30,1,1,Brick,All amenities,€ 250
For sale,3,61,4,5,Panel,All amenities,"€ 56,500"
For sale,2,53,2,2,Wood,All amenities,"€ 41,500"
For rent,2,64,3,4,Brick,All amenities,€ 620
For sale,1,27,1,6,Masonry,All amenities,"€ 38,500"
For sale,2,46,1,6,Masonry,All amenities,"€ 67,500"
For rent,2,60,9,9,Brick-Panel,All amenities,€ 280
For sale,2,42,4,5,Brick,All amenities,"€ 32,000"
For sale,2,52,4,4,Masonry,All amenities,"€ 71,000"
For sale,4,111.4,4,4,Masonry,All amenities,"€ 143,000"
For sale,2,57,1,1,Wood,All amenities,"€ 65,000"
For rent,1,28,2,4,Masonry,All amenities,€ 250
For sale,4,60,5,5,Panel,All amenities,"€ 58,500"
For sale,4,69,2,3,Masonry,Partial amenities,"€ 33,500"
For sale,4,93,2,10,Masonry,All amenities,"€ 140,000"
For rent,1,36,12,12,Masonry,All amenities,€ 300
For rent,2,50,8,9,Panel,All amenities,€ 15
For sale,4,120,1,1,Masonry,All amenities,"€ 350,000"
For sale,1,21,2,2,Brick,Partial amenities,"€ 6,900"
For sale,3,87,16,24,Panel,All amenities,"€ 178,500"
For rent,2,54,7,9,Masonry,All amenities,€ 420
For sale,3,112,2,6,Masonry,All amenities,"€ 320,000"
For sale,1,33,9,12,Brick-Panel,All amenities,"€ 40,000"
Renting,3,,,,,All amenities,
For sale,1,35,3,5,Brick,Partial amenities,"€ 33,000"
For sale,2,40,2,4,Brick,All amenities,"€ 43,000"
For sale,3,126,5,6,Masonry,All amenities,"€ 290,000"
For sale,3,110,6,6,Masonry,All amenities,"€ 240,000"
For sale,2,89.7,2,4,Masonry,All amenities,"€ 252,000"
For sale,1,25,1,2,Wood,All amenities,"€ 26,000"
For sale,2,42,2,3,Brick,All amenities,"€ 32,000"
For sale,4,115,1,3,Panel-Brick,All amenities,"€ 274,000"
For sale,2,59,4,7,Masonry,All amenities,"€ 157,000"
For sale,1,25,2,2,Wood,Partial amenities,"€ 12,000"
For sale,2,63,3,7,Brick-Panel,All amenities,"€ 72,000"
For rent,2,49,6,9,Panel,All amenities,€ 280
For rent,1,33,4,9,Brick,All amenities,€ 250
For sale,3,67,5,5,Panel,All amenities,"€ 51,500"
For sale,3,60,4,5,Masonry,All amenities,"€ 77,000"
For sale,1,21,2,2,Wood,Partial amenities,"€ 14,000"
For rent,3,76,2,5,Brick,All amenities,€ 800
For sale,4,78,5,9,Panel,All amenities,"€ 68,000"
For sale,4,124,3,7,Masonry,All amenities,"€ 288,888"
For sale,1,27,5,5,Brick,All amenities,"€ 52,000"
For rent,3,100,7,7,Masonry,All amenities,€ 85
For sale,2,57,3,3,Brick,All amenities,"€ 165,000"
For rent,2,55,9,9,Panel,All amenities,€ 35
For sale,3,97,4,5,Masonry,All amenities,"€ 195,000"
For sale,2,56,2,5,Panel,All amenities,"€ 64,500"
For sale,2,36,2,2,Wood,Partial amenities,"€ 15,890"
For sale,1,25,1,1,Wood,Partial amenities,"€ 11,000"
For sale,2,45,3,5,Panel,All amenities,"€ 40,000"
For sale,5,210,1,5,Masonry,All amenities,"€ 288,888"
For rent,3,79,6,7,Masonry,All amenities,€ 700
For sale,1,38,3,9,Brick-Panel,All amenities,"€ 45,000"
For sale,2,41,4,4,Brick,All amenities,"€ 45,000"
For sale,2,42,1,2,Wood,All amenities,"€ 52,000"
For sale,4,128,2,6,Brick,All amenities,"€ 267,960"
For rent,3,70,11,12,Brick-Panel,All amenities,€ 400
For sale,3,70,1,5,Panel,All amenities,"€ 99,900"
For sale,1,37,6,7,Masonry,All amenities,"€ 72,000"
For sale,4,124,11,13,Brick,All amenities,"€ 167,000"
For sale,2,54,4,9,Panel,All amenities,"€ 59,600"
For sale,6,131,4,4,Masonry,All amenities,"€ 90,000"
For sale,3,115.4,2,2,Wood,Partial amenities,"€ 50,000"
For sale,3,79,3,5,Masonry,All amenities,"€ 168,000"
For rent,1,40,3,4,Brick,All amenities,€ 230
For sale,3,60,5,5,Panel,All amenities,"€ 57,000"
For rent,2,50,4,5,Panel,All amenities,€ 300
For sale,3,76.2,3,7,Panel-Brick,All amenities,"€ 211,000"
For sale,2,47,3,3,Panel-Brick,All amenities,"€ 120,000"
For rent,2,49,9,9,Panel,All amenities,€ 35
For sale,2,50,3,9,Panel,All amenities,"€ 109,900"
For sale,1,60,4,7,Panel,All amenities,"€ 185,000"
For rent,4,169,4,5,Masonry,All amenities,"€ 2,600"
For sale,2,72,1,4,Brick-Panel,All amenities,"€ 85,000"
For sale,2,58,1,5,Masonry,All amenities,"€ 82,000"
For sale,3,47,5,9,Masonry,All amenities,"€ 94,000"
For sale,3,105,6,6,Masonry,All amenities,"€ 220,500"
For sale,4,76,1,6,Masonry,All amenities,"€ 127,700"
For sale,6,199,4,6,Brick,All amenities,"€ 399,000"
For rent,1,30,3,5,Masonry,All amenities,€ 255
For sale,3,110,2,5,Masonry,All amenities,"€ 117,000"
For rent,3,115,6,6,Masonry,All amenities,"€ 2,000"
For sale,2,39,5,5,Panel,All amenities,"€ 29,000"
For rent,2,50,5,6,Masonry,All amenities,€ 500
For sale,2,76,2,5,Masonry,All amenities,"€ 110,000"
For sale,5,207.4,4,6,Masonry,All amenities,"€ 420,000"
For sale,2,47,4,9,Panel,All amenities,"€ 51,000"
