option,rooms,area,floor,total_floors,house_type,condition,price
For rent,1,43,3,10,Brick-Panel,All amenities,€ 270
For rent,1,45,3,16,Brick-Panel,All amenities,€ 300
For rent,1,40,4,5,Panel,All amenities,€ 260
For sale,2,39,2,5,Brick-Panel,All amenities,"€ 30,000"
For rent,1,38,3,9,Brick,All amenities,€ 350
For rent,2,40,2,2,Wood,All amenities,€ 280
For rent,1,28,3,5,Brick-Panel,All amenities,€ 235
For sale,3,66,2,5,Brick-Panel,All amenities,"€ 43,000"
For sale,3,58,2,5,Panel,All amenities,"€ 45,000"
For rent,1,14,5,9,Panel-Brick,All amenities,€ 199
For sale,3,54,3,6,Brick,Partial amenities,"€ 51,300"
For sale,2,64,2,5,Brick-Panel,All amenities,"€ 79,500"
For rent,1,22,1,2,Wood,All amenities,€ 30
For rent,1,17,3,5,Masonry,All amenities,€ 25
For rent,1,25,5,5,Brick,All amenities,€ 230
For rent,1,22,6,6,Masonry,All amenities,€ 480
For rent,1,40,6,9,Panel,All amenities,€ 280
For sale,2,29,3,7,Masonry,All amenities,"€ 44,900"
For sale,3,78,4,6,Masonry,All amenities,"€ 159,732"
For sale,2,45,1,5,Brick,All amenities,"€ 37,000"
For sale,3,62,6,9,Panel,All amenities,"€ 61,000"
For rent,2,48,3,6,Masonry,All amenities,€ 450
For rent,1,19,3,5,Masonry,All amenities,€ 120
For sale,1,21,2,2,Wood,Partial amenities,"€ 11,700"
For rent,1,24,2,3,Panel-Brick,All amenities,€ 200
For sale,2,46,1,5,Brick,All amenities,"€ 44,300"
For sale,1,33,5,9,Panel,All amenities,"€ 38,000"
For sale,1,21,7,9,Brick,All amenities,"€ 27,500"
For sale,1,32,9,9,Panel,All amenities,"€ 32,500"
For sale,1,32,4,9,Panel,All amenities,"€ 32,000"
Renting,2,,2,5,Brick-Panel,All amenities,
For sale,4,75,6,9,Panel,All amenities,"€ 65,000"
For rent,2,48,2,9,Panel,All amenities,€ 230
For sale,3,75,3,7,Panel,All amenities,"€ 78,000"
For sale,1,17,2,2,Wood,Partial amenities,"€ 10,000"
For rent,3,57,6,6,Masonry,All amenities,€ 670
For rent,1,18,3,5,Brick,All amenities,€ 200
For sale,3,58,2,5,Brick,All amenities,"€ 73,000"
For sale,2,39,3,5,Panel,All amenities,"€ 34,900"
For rent,2,52,4,4,Brick,All amenities,€ 400
For sale,3,84,2,4,Brick-Panel,All amenities,"€ 145,000"
For sale,3,68,3,4,Panel-Brick,All amenities,"€ 110,000"
For sale,2,43,3,5,Masonry,All amenities,"€ 35,000"
For sale,5,145,4,5,Masonry,All amenities,"€ 220,000"
For sale,3,59,9,9,Panel,All amenities,"€ 58,500"
For sale,1,26,2,5,Brick,All amenities,"€ 29,800"
For sale,1,27,1,5,Panel,All amenities,"€ 32,000"
For rent,1,24,1,1,Brick,All amenities,€ 195
For rent,2,60,9,5,Panel,All amenities,€ 300
For sale,2,53,5,5,Brick-Panel,All amenities,"€ 34,980"
For sale,1,46,8,16,Panel,All amenities,"€ 45,000"
For rent,3,70,2,3,Masonry,All amenities,€ 410
For sale,4,99,6,6,Brick,Partial amenities,"€ 95,000"
For rent,2,48,1,4,Masonry,All amenities,€ 450
For rent,1,19,1,1,Brick,All amenities,€ 192
For sale,1,46,8,12,Panel,All amenities,"€ 52,000"
For rent,1,33,7,9,Panel,All amenities,€ 240
For rent,2,39,3,5,Panel,All amenities,€ 230
For sale,1,23,2,5,Masonry,All amenities,"€ 38,500"
For sale,2,52,5,5,Panel,All amenities,"€ 33,000"
For sale,2,41,2,5,Brick,All amenities,"€ 53,500"
For rent,1,12,5,5,Brick,All amenities,€ 115
For rent,1,38,8,12,Brick,All amenities,€ 180
For rent,3,70,1,1,Brick,All amenities,€ 735
For rent,2,60,11,16,Brick,All amenities,€ 330
For sale,3,59,1,5,Panel,All amenities,"€ 53,500"
For sale,3,67,2,5,Panel,Partial amenities,"€ 58,000"
For sale,4,138,3,5,Masonry,All amenities,"€ 199,000"
For sale,2,47,2,5,Masonry,All amenities,"€ 147,000"
For sale,4,88,2,4,Brick,All amenities,"€ 105,000"
For rent,1,25,3,5,Masonry,Partial amenities,€ 200
For sale,3,73,4,16,Masonry,All amenities,"€ 89,000"
For sale,3,73,4,4,Masonry,All amenities,"€ 135,000"
For sale,2,52,3,4,Masonry,All amenities,"€ 90,000"
For rent,2,55,10,10,Panel-Brick,All amenities,€ 330
For sale,4,125,5,7,Brick-Panel,All amenities,"€ 210,000"
For sale,3,67,7,9,Brick-Panel,All amenities,"€ 65,000"
For rent,3,142,4,7,Brick-Panel,All amenities,"€ 1,450"
For rent,2,40,4,6,Brick,All amenities,€ 395
For rent,2,48,3,4,Brick,All amenities,€ 330
For rent,1,34,5,5,Panel-Brick,All amenities,€ 300
For sale,2,56,2,2,Masonry,All amenities,"€ 83,800"
For rent,3,109,8,23,Panel,All amenities,"€ 1,200"
For rent,3,80,1,4,Masonry,All amenities,"€ 1,200"
For sale,3,104,2,2,Masonry,All amenities,"€ 320,000"
For rent,5,250,4,6,Masonry,All amenities,"€ 2,500"
For sale,2,80,1,7,Masonry,All amenities,"€ 141,000"
For sale,2,33,3,7,Brick-Panel,All amenities,"€ 80,000"
For sale,3,72.4,2,6,Brick,All amenities,"€ 85,000"
For rent,3,98,6,7,Brick,All amenities,€ 750
For rent,2,48,8,12,Brick-Panel,All amenities,€ 320
For rent,3,95,4,5,Masonry,All amenities,€ 550
For sale,3,167,1,7,Brick-Panel,Without amenities,"€ 19,999"
For sale,2,45,5,5,Panel,All amenities,"€ 29,999"
For rent,1,19,3,5,Brick,Partial amenities,€ 180
For rent,1,36,3,4,Brick-Panel,All amenities,€ 55
For rent,1,23,1,4,Brick,All amenities,€ 220
For sale,3,71,2,5,Masonry,All amenities,"€ 159,750"
For rent,2,49,3,6,Panel-Brick,All amenities,€ 650
For sale,3,91,3,5,Masonry,All amenities,"€ 164,000"
For sale,2,50,1,9,Panel,All amenities,"€ 41,700"
For sale,4,176,4,4,Brick-Panel,All amenities,"€ 168,000"
For rent,1,28,2,5,Brick,All amenities,€ 260
For sale,2,45,2,4,Brick,All amenities,"€ 43,500"
For rent,3,95,18,24,Panel-Brick,All amenities,€ 550
For rent,3,96,6,24,Panel-Brick,All amenities,€ 550
For sale,4,170,5,6,Masonry,All amenities,"€ 270,000"
For sale,3,95,6,7,Masonry,All amenities,"€ 148,000"
For rent,1,15,1,2,Wood,All amenities,€ 150
For rent,1,18,2,5,Panel,Partial amenities,€ 70
For sale,2,53,5,6,Brick-Panel,All amenities,"€ 107,000"
For sale,4,109,3,4,Masonry,All amenities,"€ 185,300"
